unique_id, Restuarant_Name, Longitude, Latitude, Price_Index, Num_Shown_5_star, Num_Shown_4_star, Num_Shown_3_star, Num_Shown_2_star, Num_Shown_1_star, Total_Shown_Votes, Avg_Shown_Score, Num_Filtered_5_star, Num_Filtered_4_star, Num_Filtered_3_star, Num_Filtered_2_star, Num_Filtered_1_star, Total_Filtered_Votes, Avg_Filtered_Score
KKVTpvVr2nxw8zg_nH8lmg,Grill & Garden Restaurant,41.9785615115321,-87.660001963377,1,30,5,2,2,2,41,4.439024390243903,5,2,0,0,1,8,4.25
RjekqT6Mfg1XjQtLtgqtvg,Diez Y Ocho,41.8578431,-87.6761481,2,43,14,6,4,6,73,4.1506849315068495,8,1,0,0,1,10,4.5
ZcGuLKfgZAWuhMBbfqXBmw,Taqueria El Asadero,41.9612716,-87.6843339,1,174,124,25,27,14,364,4.145604395604396,30,9,4,1,3,47,4.319148936170213
D-fAPWkLhe41j4rHGRZgIQ,La Fournette,41.9105233,-87.6343456,2,168,93,35,11,8,315,4.276190476190476,8,14,0,1,2,25,4.0
MwobGG_QI3QLf5HencV3Yg,The Kitchen Chicago,41.887871,-87.631234,3,83,64,23,16,6,192,4.052083333333333,5,1,3,0,0,9,4.222222222222222
r2eRY7UymHkcopNgzjJv9g,Esencia Urban Kitchen,41.9432065013836,-87.6445358158359,2,52,40,10,3,4,109,4.220183486238532,5,2,0,0,1,8,4.25
tCBKjclvCuiuSkiNz1fOjw,Wood,41.942829280388,-87.649184667136,2,147,71,34,31,21,304,3.960526315789474,41,9,1,5,7,63,4.142857142857143
FjuWa978SmBM4lrSmJgePw,Spotted Monkey,41.8770473,-87.6347976,2,16,4,2,0,1,23,4.478260869565218,0,0,0,0,0,0,x
HSfjGxJ_XcA03eQJ9uniYw,Trike,41.927624,-87.704557,2,39,45,15,9,6,114,3.8947368421052633,4,3,1,1,0,9,4.111111111111111
U9D0vqEP4QrJfJYs8mr3DA,Oiistar,41.9070880100627,-87.6720839738846,2,164,208,115,36,21,544,3.8419117647058822,26,9,0,3,3,41,4.2682926829268295
ed3NV3_-A8B1_w0_oCFpWQ,Bite Cafe,41.9004625,-87.6866398,2,251,277,100,44,30,702,3.9615384615384617,30,25,4,10,21,90,3.3666666666666667
9AXJmehEJ3hZqL2lmLeP5Q,Nando’s PERi-PERi,41.9082411,-87.646727,2,15,11,3,2,3,34,3.9705882352941178,1,1,0,1,0,3,3.6666666666666665
NkiMNg57iKeBLRdt9jv2Aw,The Boarding House,41.8946762084961,-87.6342620849609,3,141,156,97,43,13,450,3.82,18,9,9,18,31,85,2.588235294117647
1kySpL0s7cdFRHD8XbsonA,Chicken Works & Salad Company,41.9538116,-87.7198351,1,70,69,14,10,5,168,4.125,15,9,0,0,1,25,4.48
tE9iDf1UZWIEeSu3RYbizg,Koko’s Mediterranean Grille,41.8962001,-87.6720127,1,34,13,6,3,5,61,4.114754098360656,4,0,0,0,0,4,5.0
Au1f1UMmKcgOXLsg4v56xw,Little Bucharest Bistro,41.9479987,-87.7105289,2,197,70,28,15,24,334,4.200598802395209,75,14,3,11,16,119,4.016806722689076
orZRAjCMGQrNsoshGAwDkA,Red Hot Ranch,41.9375348836184,-87.6685266941786,1,49,21,3,2,5,80,4.3375,6,0,0,0,0,6,5.0
lSrO-tXH3jR9HODPzft9OQ,Jimmy’s Red Hots,41.906653,-87.726735,1,112,49,22,8,9,200,4.235,28,12,3,0,4,47,4.276595744680851
7HQy7afYxXg5pYUa9G_Hkw,City Cafe,41.9406547546387,-87.7270050048828,1,22,10,4,1,3,40,4.175,3,1,0,0,0,4,4.75
qTWNOtzb4H0DIkUrHX1_8Q,Sauce And Bread Kitchen,41.9975261,-87.6705616,1,46,18,2,1,0,67,4.626865671641791,2,1,1,0,0,4,4.25
_StOUGMGMmENR44zAEoDrA,Big Star,41.909228215006,-87.677153784986,2,557,922,450,239,179,2347,3.6131231359181935,86,108,44,54,103,395,3.050632911392405
AUD5KF5YvKY-5yf_qH8UJg,The Spanish Square,41.940031,-87.663441,2,16,4,3,0,1,24,4.416666666666667,3,0,0,1,0,4,4.25
ALwH81_sqskLmwfWS-_eeQ,Tank Noodle Restaurant,41.9731009,-87.6594002,1,358,566,201,78,75,1278,3.8247261345852896,49,39,17,14,17,136,3.6544117647058822
PCfWAWgdt3iDiTaUNUkygQ,White Oak Tavern & Inn,41.9218608,-87.6584955,3,51,15,5,10,8,89,4.022471910112359,8,3,1,1,1,14,4.142857142857143
mTOxKyJfY7OgeS9jUa88ew,Pane Caldo,41.897992,-87.6252109,3,29,5,0,3,3,40,4.35,2,1,0,0,1,4,3.75
tTXXzotbAK9qcY3902oQ0w,Jane’s,41.9158184,-87.6699248,2,125,171,89,65,33,483,3.600414078674948,24,19,5,13,14,75,3.3466666666666667
TrHpyyurfCHWUQMpsLyxVw,Bari,41.8913526,-87.655624,1,387,139,44,22,8,600,4.458333333333333,78,30,4,5,31,148,3.804054054054054
He0Q7h8TWsh_BJt4FyJFzg,G & N The King Of Breakfast,41.9097335,-87.7529053,1,12,1,0,0,1,14,4.642857142857143,4,0,0,0,0,4,5.0
6nThdNoEuRfHwjNR875fVw,Feed,41.895473,-87.696973,1,203,189,69,44,15,520,4.001923076923077,19,14,1,4,3,41,4.024390243902439
Lw1Nz0Gus-RYJsg2Kk8dXw,Shawarma Garden,41.9030684,-87.6768271,1,54,27,10,9,3,103,4.165048543689321,9,3,0,1,2,15,4.066666666666666
sOaAqqEeJFX8BJ5epsoGcg,Kingsbury Street Cafe,41.9087751,-87.6522372,2,95,134,36,24,14,303,3.897689768976898,11,8,1,2,0,22,4.2727272727272725
